concept_path	concept_cd	name_char	concept_blob	update_date	download_date	import_date	sourcesystem_cd	upload_id
\FHIR\ActivityDefinition\dosage\	FHIR:ActivityDefinition.dosage	FHIR ActivityDefinition dosage		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\additionalInstruction\	FHIR:ActivityDefinition.dosage.additionalInstruction	FHIR ActivityDefinition dosage additionalInstruction		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\additionalInstruction\coding\	FHIR:ActivityDefinition.dosage.additionalInstruction.coding	FHIR ActivityDefinition dosage additionalInstruction coding		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\asNeededCodeableConcept\	FHIR:ActivityDefinition.dosage.asNeededCodeableConcept	FHIR ActivityDefinition dosage asNeededCodeableConcept		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\asNeededCodeableConcept\coding\	FHIR:ActivityDefinition.dosage.asNeededCodeableConcept.coding	FHIR ActivityDefinition dosage asNeededCodeableConcept coding		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\doseQuantity\	FHIR:ActivityDefinition.dosage.doseQuantity	FHIR ActivityDefinition dosage doseQuantity		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\doseRange\	FHIR:ActivityDefinition.dosage.doseRange	FHIR ActivityDefinition dosage doseRange		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\doseRange\high\	FHIR:ActivityDefinition.dosage.doseRange.high	FHIR ActivityDefinition dosage doseRange high		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\doseRange\low\	FHIR:ActivityDefinition.dosage.doseRange.low	FHIR ActivityDefinition dosage doseRange low		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\maxDosePerAdministration\	FHIR:ActivityDefinition.dosage.maxDosePerAdministration	FHIR ActivityDefinition dosage maxDosePerAdministration		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\maxDosePerLifetime\	FHIR:ActivityDefinition.dosage.maxDosePerLifetime	FHIR ActivityDefinition dosage maxDosePerLifetime		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\maxDosePerPeriod\	FHIR:ActivityDefinition.dosage.maxDosePerPeriod	FHIR ActivityDefinition dosage maxDosePerPeriod		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\maxDosePerPeriod\denominator\	FHIR:ActivityDefinition.dosage.maxDosePerPeriod.denominator	FHIR ActivityDefinition dosage maxDosePerPeriod denominator		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\maxDosePerPeriod\numerator\	FHIR:ActivityDefinition.dosage.maxDosePerPeriod.numerator	FHIR ActivityDefinition dosage maxDosePerPeriod numerator		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\method\	FHIR:ActivityDefinition.dosage.method	FHIR ActivityDefinition dosage method		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\method\coding\	FHIR:ActivityDefinition.dosage.method.coding	FHIR ActivityDefinition dosage method coding		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\rateRange\	FHIR:ActivityDefinition.dosage.rateRange	FHIR ActivityDefinition dosage rateRange		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\rateRange\high\	FHIR:ActivityDefinition.dosage.rateRange.high	FHIR ActivityDefinition dosage rateRange high		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\rateRange\low\	FHIR:ActivityDefinition.dosage.rateRange.low	FHIR ActivityDefinition dosage rateRange low		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\rateRatio\	FHIR:ActivityDefinition.dosage.rateRatio	FHIR ActivityDefinition dosage rateRatio		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\rateRatio\denominator\	FHIR:ActivityDefinition.dosage.rateRatio.denominator	FHIR ActivityDefinition dosage rateRatio denominator		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\rateRatio\numerator\	FHIR:ActivityDefinition.dosage.rateRatio.numerator	FHIR ActivityDefinition dosage rateRatio numerator		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\rateSimpleQuantity\	FHIR:ActivityDefinition.dosage.rateSimpleQuantity	FHIR ActivityDefinition dosage rateSimpleQuantity		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\route\	FHIR:ActivityDefinition.dosage.route	FHIR ActivityDefinition dosage route		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\route\coding\	FHIR:ActivityDefinition.dosage.route.coding	FHIR ActivityDefinition dosage route coding		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\site\	FHIR:ActivityDefinition.dosage.site	FHIR ActivityDefinition dosage site		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\site\coding\	FHIR:ActivityDefinition.dosage.site.coding	FHIR ActivityDefinition dosage site coding		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\timing\	FHIR:ActivityDefinition.dosage.timing	FHIR ActivityDefinition dosage timing		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\timing\code\	FHIR:ActivityDefinition.dosage.timing.code	FHIR ActivityDefinition dosage timing code		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\timing\code\coding\	FHIR:ActivityDefinition.dosage.timing.code.coding	FHIR ActivityDefinition dosage timing code coding		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\timing\repeat\	FHIR:ActivityDefinition.dosage.timing.repeat	FHIR ActivityDefinition dosage timing repeat		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\timing\repeat\boundsDuration\	FHIR:ActivityDefinition.dosage.timing.repeat.boundsDuration	FHIR ActivityDefinition dosage timing repeat boundsDuration		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\timing\repeat\boundsPeriod\	FHIR:ActivityDefinition.dosage.timing.repeat.boundsPeriod	FHIR ActivityDefinition dosage timing repeat boundsPeriod		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\timing\repeat\boundsRange\	FHIR:ActivityDefinition.dosage.timing.repeat.boundsRange	FHIR ActivityDefinition dosage timing repeat boundsRange		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\timing\repeat\boundsRange\high\	FHIR:ActivityDefinition.dosage.timing.repeat.boundsRange.high	FHIR ActivityDefinition dosage timing repeat boundsRange high		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dosage\timing\repeat\boundsRange\low\	FHIR:ActivityDefinition.dosage.timing.repeat.boundsRange.low	FHIR ActivityDefinition dosage timing repeat boundsRange low		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\dynamicValue\	FHIR:ActivityDefinition.dynamicValue	FHIR ActivityDefinition dynamicValue		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\effectivePeriod\	FHIR:ActivityDefinition.effectivePeriod	FHIR ActivityDefinition effectivePeriod		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\experimental\	FHIR:ActivityDefinition.experimental	FHIR ActivityDefinition experimental		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\identifier\	FHIR:ActivityDefinition.identifier	FHIR ActivityDefinition identifier		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\identifier\period\	FHIR:ActivityDefinition.identifier.period	FHIR ActivityDefinition identifier period		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\identifier\type\	FHIR:ActivityDefinition.identifier.type	FHIR ActivityDefinition identifier type		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\identifier\type\coding\	FHIR:ActivityDefinition.identifier.type.coding	FHIR ActivityDefinition identifier type coding		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\jurisdiction\	FHIR:ActivityDefinition.jurisdiction	FHIR ActivityDefinition jurisdiction		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\jurisdiction\coding\	FHIR:ActivityDefinition.jurisdiction.coding	FHIR ActivityDefinition jurisdiction coding		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\kind\	FHIR:ActivityDefinition.kind	FHIR ActivityDefinition kind		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\lastReviewDate\	FHIR:ActivityDefinition.lastReviewDate	FHIR ActivityDefinition lastReviewDate		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\library\	FHIR:ActivityDefinition.library	FHIR ActivityDefinition library		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\location\	FHIR:ActivityDefinition.location	FHIR ActivityDefinition location		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\name\	FHIR:ActivityDefinition.name	FHIR ActivityDefinition name		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\participant\	FHIR:ActivityDefinition.participant	FHIR ActivityDefinition participant		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\participant\role\	FHIR:ActivityDefinition.participant.role	FHIR ActivityDefinition participant role		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\participant\role\coding\	FHIR:ActivityDefinition.participant.role.coding	FHIR ActivityDefinition participant role coding		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\productCodeableConcept\	FHIR:ActivityDefinition.productCodeableConcept	FHIR ActivityDefinition productCodeableConcept		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\productCodeableConcept\coding\	FHIR:ActivityDefinition.productCodeableConcept.coding	FHIR ActivityDefinition productCodeableConcept coding		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\productReference\	FHIR:ActivityDefinition.productReference	FHIR ActivityDefinition productReference		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\publisher\	FHIR:ActivityDefinition.publisher	FHIR ActivityDefinition publisher		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\purpose\	FHIR:ActivityDefinition.purpose	FHIR ActivityDefinition purpose		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\quantity\	FHIR:ActivityDefinition.quantity	FHIR ActivityDefinition quantity		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\relatedArtifact\	FHIR:ActivityDefinition.relatedArtifact	FHIR ActivityDefinition relatedArtifact		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\relatedArtifact\document\	FHIR:ActivityDefinition.relatedArtifact.document	FHIR ActivityDefinition relatedArtifact document		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\status\	FHIR:ActivityDefinition.status	FHIR ActivityDefinition status		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\timingDateTime\	FHIR:ActivityDefinition.timingDateTime	FHIR ActivityDefinition timingDateTime		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\timingPeriod\	FHIR:ActivityDefinition.timingPeriod	FHIR ActivityDefinition timingPeriod		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\timingRange\	FHIR:ActivityDefinition.timingRange	FHIR ActivityDefinition timingRange		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\timingRange\high\	FHIR:ActivityDefinition.timingRange.high	FHIR ActivityDefinition timingRange high		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\timingRange\low\	FHIR:ActivityDefinition.timingRange.low	FHIR ActivityDefinition timingRange low		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\timingTiming\	FHIR:ActivityDefinition.timingTiming	FHIR ActivityDefinition timingTiming		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\timingTiming\code\	FHIR:ActivityDefinition.timingTiming.code	FHIR ActivityDefinition timingTiming code		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\timingTiming\code\coding\	FHIR:ActivityDefinition.timingTiming.code.coding	FHIR ActivityDefinition timingTiming code coding		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\timingTiming\repeat\	FHIR:ActivityDefinition.timingTiming.repeat	FHIR ActivityDefinition timingTiming repeat		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\timingTiming\repeat\boundsDuration\	FHIR:ActivityDefinition.timingTiming.repeat.boundsDuration	FHIR ActivityDefinition timingTiming repeat boundsDuration		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\timingTiming\repeat\boundsPeriod\	FHIR:ActivityDefinition.timingTiming.repeat.boundsPeriod	FHIR ActivityDefinition timingTiming repeat boundsPeriod		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\timingTiming\repeat\boundsRange\	FHIR:ActivityDefinition.timingTiming.repeat.boundsRange	FHIR ActivityDefinition timingTiming repeat boundsRange		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\timingTiming\repeat\boundsRange\high\	FHIR:ActivityDefinition.timingTiming.repeat.boundsRange.high	FHIR ActivityDefinition timingTiming repeat boundsRange high		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\timingTiming\repeat\boundsRange\low\	FHIR:ActivityDefinition.timingTiming.repeat.boundsRange.low	FHIR ActivityDefinition timingTiming repeat boundsRange low		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\title\	FHIR:ActivityDefinition.title	FHIR ActivityDefinition title		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\topic\	FHIR:ActivityDefinition.topic	FHIR ActivityDefinition topic		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\topic\coding\	FHIR:ActivityDefinition.topic.coding	FHIR ActivityDefinition topic coding		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\transform\	FHIR:ActivityDefinition.transform	FHIR ActivityDefinition transform		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\url\	FHIR:ActivityDefinition.url	FHIR ActivityDefinition url		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
